27.6,29.3,28.2,24.1,17.7,15.1,14.7,15,17.3,20.1,21.1,24.5
26.8,28.5,24.6,23.7,20.3,17.1,15.2,16.3,19.4,21.6,23.5,27
30.3,27.4,24.9,23.1,19.8,14.9,16.2,16.3,18.8,21.4,23.6,27.2
30,26.6,27.9,21.4,18,16.3,15.2,16.2,16.8,19.8,22.5,25
25.3,29.8,24.2,21.7,19.6,15.7,17.1,15.4,18.5,19.2,24.9,28.1
26.9,29.3,25,21.7,17.9,15.8,15.7,16.6,17.6,18.8,23,26.3
28.5,29,24.6,20.2,18.5,15.3,15.3,19,17.8,22.5,23.5,27.3
26.6,27.1,26,22.2,19,15.5,14.4,14.8,16.8,21.3,23,25.8
31.4,29.1,25.8,20.9,17.8,17.4,15.7,15.5,17.7,20,24.4,25.8
25.7,27.8,25.3,24.4,20.1,15.8,15.3,17.1,19.6,21.6,25.7,28.1
31.6,30,22.9,24.1,18.4,15.6,15,15,19.5,21.2,23.4,25.7
30.3,28.6,26.2,21.9,18.2,14.8,14.6,19.1,18.2,21,26.5,26.7
27.4,31,25.2,19.6,18,15.7,14.1,16.6,17.9,20.9,23.9,27.7
26.5,27.7,24.8,21.1,19.6,16.2,14,15.5,16,20.8,23.4,26.1
27.6,28,26.8,22.7,18.7,15.7,15.4,15.7,17.2,21.1,23.5,23.8
26.5,26.2,27.9,21.7,18.7,15.7,14,15.5,17.2,19.2,23.7,24.1
24.6,27.5,23.4,22.8,18.3,16.1,14.3,15.1,18.5,20.6,24,26
28.1,25.8,26.6,22.4,19.6,16.2,15.4,16.5,20,22.6,22.5,26.9
27.3,28.9,26.7,22.2,18.4,14.1,13.8,14.1,18.2,19.7,24.7,26.6
28,26.1,27,22.4,19.6,16.2,15,14.5,19.1,22.1,25.9,25
28.6,29.2,24.7,22.4,18.4,16.9,14.9,15.2,18.2,21.9,23.9,24.6
24.3,28.8,25.3,22.6,17.8,15.5,15.6,15.1,15.2,20.5,20.8,24.1
27.5,27.8,25.2,24.1,19.3,15.1,15.3,17.8,18.3,20.1,23.9,24.2
24.8,26.3,25.5,22.2,19.2,16.2,16.5,15.7,17.4,21.5,22.5,28.2
29.5,29.1,23.7,19.8,17.5,16.1,13.9,17.4,18.1,21.1,23.8,25.1
26.6,27.3,26.7,19.9,19.2,16.6,15,15.1,17.5,21.3,21.9,24.9
28.3,31.8,22.5,22.1,17.4,15.6,14.2,15,17.4,21.3,25.1,25.3
28.3,26.7,25.5,20.1,18.6,15.3,13.8,16.1,19.6,20.1,23.5,26.3
30.3,29.5,24.3,20.7,19,15.6,15.6,16.7,20.2,21.8,22.2,25.2
27.5,31.6,25.5,22.4,17.3,15.2,15.1,15.5,18.3,20.4,26.6,27.2
32.5,30.7,24.9,22,18.5,15.9,15.1,15.6,19.5,18.1,21.6,22.5
26.6,25.4,24.9,23.7,20.3,15.9,15.7,16,18.8,21.1,25,27.1
30.4,27.8,23.7,22.5,19.4,15.7,15.4,14.8,17.4,18.6,26.9,27.5
24.5,30.2,26.3,23,18.3,16.1,14.6,16.3,17.7,23.1,24.4,26.1
27.8,26,24.8,25,20.4,17.8,15.3,17.1,18.2,21.5,24.6,27.1
30.9,26.2,27.3,20.4,17,15.4,15.3,17.9,20.6,23.6,25.4,27.7
28.6,30.5,27,24.1,19.8,14.6,15.3,17.9,20.8,23.1,26.4,27.6
29.1,26.7,29.7,22.3,19.3,16.8,14.9,14.6,19.8,23,23.8,24.4
29.8,30,25.3,22.2,18.1,16.1,15.5,17.8,19.3,21.3,29.8,27.3
29.6,29.7,26.7,23.2,19.4,15.7,15,15,16.1,20.5,23,25.9
29.1,27.6,24.3,22.3,17.9,16.5,15.5,17.3,20.5,21.3,25.5,26.9
30,26.7,25.3,23.6,18,15.3,15.1,15.5,19.1,21.9,26.6,27
28.5,28.7,27.3,23.2,20.6,16.1,15.9,16.7,21.3,21.8,24.2,27.1
30.7,28.2,26,22.8,20.4,16.5,15.1,16.3,20.1,24.5,25.3,25
27.6,31,24.1,20.1,18.1,16,14.5,15.5,18.5,25.4,25.7,30.3
29.1,27.2,27.1,23.8,19.6,16.1,15.1,17,16.9,20.3,22.7,26.6
29.1,27.2,27.8,22.8,19,16.5,16.2,15.6,,,,
